Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,crop,33483.87,33483.87,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,buildLow56,2543184,2543184,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,buildLow44,1998216,1998216,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,buildHigh,567900,567900,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,telecom,11,11,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,electric,64710,64710,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,railways,7020,7020,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,hospitals,2,2,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,bhu,4,4,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,schools,18,18,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,roads,243750,243750,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Exp,hydraulic,46350,46350,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,crop,46023714,46023714,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,buildLow56,53213176.8,53213176.8,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,buildLow44,118178894.59,118178894.59,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,buildHigh,19312416.9,19312416.9,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,telecom,139167.78,139167.78,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,electric,321489,321489,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,railways,16315110,16315110,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,hospitals,64288.14,64288.14,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,bhu,41272.6,41272.6,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,schools,265018.64,265018.64,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,roads,10164906,10164906,0,0.00
2.3_future_breaches,2.3,future,breaches,TOTAL,Dmg,hydraulic,1314720,1314720,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,crop,11640.06,11640.06,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,buildLow56,1120896,1120896,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,buildLow44,880704,880704,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,buildHigh,270900,270900,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,telecom,1,1,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,electric,15420,15420,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,hospitals,1,1,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,bhu,3,3,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,schools,8,8,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,roads,75300,75300,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Exp,hydraulic,11220,11220,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,crop,16145702.1,16145702.1,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,buildLow56,24470208,24470208,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,buildLow44,53656428.67,53656428.67,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,buildHigh,9947799,9947799,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,telecom,25000.2,25000.2,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,electric,34830,34830,0,0.00
2.3_future_breaches,2.3,future,breaches,Dadu,Dmg,railways,0,0,0,0.00
